input,target
How many students are enrolled in The Circle of Fifths for Guitarists?,1018
How many students are enrolled in Piano Runs & Fills #2: Play Rolling Cascading Runs for Intro?,2164
How many students are enrolled in Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days?,2415
How many students are enrolled in Essential Theory and Technique for Guitar?,2285
How many students are enrolled in Master Class Piano Techniques: Tips To EZ Coordinate 2 Hands?,2026
How many students are enrolled in Master Class # 11: Play Piano Techniques Learn Piano 1 to10?,2164
How many students are enrolled in Learn all Piano Chords in all Piano Scales with logic?,969
How many students are enrolled in Learn to play the piano or keyboard from scratch?,1987
How many students are enrolled in 5 Exotic Guitar Scales and How to Use Them Effectively?,1319
How many students are enrolled in Learn 4 Chords and Play Thousands of Songs!?,4560
How many students are enrolled in #10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key?,1593
How many students are enrolled in Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia?,4133
How many students are enrolled in Play Piano 1 Master Class Intro: Standards 2-5 Power Chords?,1541
How many students are enrolled in Learn Guitar: Zero to Guitar Fingerpicking in 30 days?,1495
How many students are enrolled in How to play Contemporary Piano?,1200
How many students are enrolled in Piano Technique Exercises Vol.1?,1674
How many students are enrolled in Instant Harmonica - Learning the Basic 12 Bar Blues Bassline?,54
How many students are enrolled in #5 Piano Hand Coordination: Piano Runs in 2 Beats Eb Key?,940
How many students are enrolled in Modern Country Guitar: Technique Booster?,1152
How many students are enrolled in #4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key?,850
How many students are enrolled in 3 step formula for playing guitar by ear?,3937
How many students are enrolled in Learn to Read & Write Music to play Piano & more instruments?,5292
How many students are enrolled in Learn to play your favorite guitar songs by ear?,4733
How many students are enrolled in Piano for Singer/Songwriters | Write Songs and Perform Live!?,3371
How many students are enrolled in Learn Guitar in 21 Days?,26504
How many students are enrolled in The Professional Bass Masterclass?,1449
How many students are enrolled in The Allman Brothers Guitar Roots And Techniques?,2692
How many students are enrolled in Blues Guitar Fundamentals?,3312
How many students are enrolled in #6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song?,2015
How many students are enrolled in #7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4?,2015
How many students are enrolled in Beginner Level Popular Piano Program - Month 1?,7
How many students are enrolled in Darbuka Drumming: Learn how to play the Darbuka Dounbek?,1094
How many students are enrolled in Awesome Lead Guitar 1?,60
How many students are enrolled in The art of piano improvisation?,83
How many students are enrolled in How To Build A Professional Djembe: Create Music Beauty &Biz?,122
How many students are enrolled in Advanced Euphonium Studies - Learn to Master the Euphonium!​?,106
How many students are enrolled in Didgeridoo - from zero to HERO! Part Two. Intermediate.?,55
How many students are enrolled in Fingerstyle Guitar by Jacques Stotzem - Advanced Level?,77
How many students are enrolled in Trumpet Pro Series - You're going to love practicing Trumpet?,92
How many students are enrolled in A Guide to Analog Synths: For the modern EDM enthusiast.?,29
How many students are enrolled in Accelerate Your Guitar Learning With Metal Techniques?,1305
How many students are enrolled in Just chords Piano: Learn to Play Piano Quickly - No Music?,2357
How many students are enrolled in Play Ukulele Now?,1951
How many students are enrolled in Piano Runs & Fills #1: Play Dreamy Whole Tone Scale Runs?,769
How many students are enrolled in Play Piano Today - Easy Festive Favorites & Piano Party Hits?,3122
How many students are enrolled in Learn to play guitar and sing at the same time?,66
How many students are enrolled in Introduction to Ukulele 1?,630
How many students are enrolled in Learn Flute FAST!?,249
How many students are enrolled in Piano With Willie: Blues n' Boogie Vol. 3?,84
How many students are enrolled in Instant Harmonica - play The Kesh (pt 1) it's easy and fun!?,58
How many students are enrolled in Instant Harmonica - play Somewhere Over the Rainbow now!?,431
How many students are enrolled in Instant Harmonica - play The Kesh (part 2) - easy and fun!?,53
How many students are enrolled in The 80/20 Guitar: Write Music and Play Guitar in 30 Days?,2610
How many students are enrolled in Ukulele 2 : Level 1 KEY OF C AND STRUMS?,26
How many students are enrolled in Guitar for Music Educators: Learning How to Teach Guitar?,32
How many students are enrolled in Bluegrass Guitar Essentials: Webisodes 3 & 4?,12
How many students are enrolled in Instant Harmonica - play Christmas + Birthday songs now!?,236
How many students are enrolled in Bluegrass Guitar Essentials: Webisodes 5 & 6?,11
How many students are enrolled in Flute Pro Series - You're about to love practicing the flute?,135
How many students are enrolled in How To Play Guitar - Everything You Need To Know To Start?,5
How many students are enrolled in Trombone Pro Series - Fall in love with the Trombone?,57
How many students are enrolled in Learn How To Play 25 Classic Hip Hop Songs Ch.2?,7
How many students are enrolled in Learn to play tunes by ear on harmonica - no written music?,73
How many students are enrolled in Fingerpicking for Guitar?,35
"How many students are enrolled in Music Theory, Guitar and Ear Training?",30
How many students are enrolled in Advanced Trombone Studies - Learn to Master the Trombone!?,39
"How many students are enrolled in Euphonium Solos: Learn to Perform Three Fun, Unique Pieces!?",90
How many students are enrolled in Piano With Willie: Tritones & Phat Chords?,37
How many students are enrolled in Piano for Kids: Developing Your Child's Creative Abilities?,42
How many students are enrolled in French Horn Solos: Learn how to Perform Three Fun Pieces!?,88
How many students are enrolled in Bluegrass Guitar Essentials: Webisodes 9 & 10?,10
How many students are enrolled in Play music on Harmonica using 8 notes - learn easy tunes!?,29
How many students are enrolled in Learn Piano Online-A Quiet Solace Piano Solo?,7
How many students are enrolled in Bluegrass Guitar Essentials: Webisodes 7 & 8?,9
How many students are enrolled in The Art of the Blues Shuffle - A Guitarist's Guide?,8
How many students are enrolled in Learn Piano Online-Ambiance Piano Solo?,8
How many students are enrolled in The Theory & Practice of Modes on the Guitar?,17
How many students are enrolled in Learn How To Play The Trumpet?,2
How many students are enrolled in Aprendiendo Piano: Tocando piezas populares Vol.I?,122
How many students are enrolled in Curso de Bateria - Explorando Diferentes Divisões?,5
How many students are enrolled in Escalas Pentatónicas para guitarristas?,11
How many students are enrolled in Brass Master Class?,36
How many students are enrolled in Enseñando música: mejora tus clases de instrumento ?,111
How many students are enrolled in Ukelele exprés: aprende a tocar en menos de un mes?,888
How many students are enrolled in Curso de Guitarra para Principiantes?,53
How many students are enrolled in Mundharmonika spielen - mein schönstes Hobby?,65
How many students are enrolled in Aprende el acordeón de oído y con técnica –Nivel Intermedio–?,38
How many students are enrolled in Présentation du Banjo Ténor?,18
How many students are enrolled in Aprende a tocar el acordeón de botones?,22
How many students are enrolled in Aprendiendo piano: Lectura de piezas clásicas Vol.I?,211
How many students are enrolled in Pedais de efeito para Contrabaixo?,10
How many students are enrolled in Mantenimiento y octavación para guitarras eléctricas?,12
How many students are enrolled in Aprende a tocar el violín desde cero?,17
How many students are enrolled in Aprende a tocar el teclado como los expertos?,11
How many students are enrolled in Aprende a tocar el saxofón como siempre has querido?,8
How many students are enrolled in Guitarra para principiantes?,7
How many students are enrolled in Aprende a tocar flauta transversal sin complicaciones?,6
How many students are enrolled in Aprende a tocar las escalas en el acordeón de botones.?,2
How many students are enrolled in Curso de Violão Prático?,5
"How many students are enrolled in Aprende a tocar percusiones: congas, bongós, maracas y más?",14
How many students are enrolled in Gitarre spielen - mein schönstes Hobby?,11
How many students are enrolled in Aprende a tocar la guitarra acústica como un profesional?,11
"How many students are enrolled in Easy Piano Basics™ - Learn Piano, No Prior Experience Needed?",377
How many students are enrolled in Guitar Technique Mastery: The Ultimate Chop Building Workout?,273
How many students are enrolled in Inside Drum Technique?,406
"How many students are enrolled in Learn to Play Tarrega, Bach, and Sor on Classical Guitar?",556
